brand,store_name,lat,lng
"サークルK","豊田西岡",35.0466855,137.0602334
"サークルK","出川",35.2690289,137.0167768
"サークルK","一ツ木",35.0135023,137.0211112
"サークルK","関下有知",35.5184253,136.9063854
"サークルK","権田町",34.8645076,136.9845591
"サークルK","小牧東新町",35.2856776,136.9277134
"サークルK","中津川落合",35.5138747,137.5305838
"サークルK","東田原",34.6611142,136.1127188
"サークルK","御船",35.1343514,137.1920374
"サークルK","小園前",34.88121,137.1054982
"サークルK","下瀬木",35.0594881,136.9428615
"サークルK","岡崎正名",34.8912093,137.1297348
"サークルK","足助大橋",35.1330066,137.3073669
"サークルK","明智",35.310702,137.3904378
"サークルK","山岡",35.3526625,137.3901029
"サークルK","恵那峡",35.4715162,137.4113037
"サークルK","田島",35.44701,137.0220071
"サークルK","一色野田",34.7985877,137.0418153
"サークルK","上三本松",34.896695,137.2619345
"サークルK","伊勢中島",34.4932252,136.6904086
"サークルK","弥次エ",35.0891685,136.9235538
"サークルK","新知",34.9792452,136.861413
"サークルK","四日市下之宮",35.018754,136.6355809
"サークルK","土岐高前",35.3228143,137.1949595
"サークルK","関桜町",35.4932281,136.9112942
"サークルK","安井",35.2084777,136.9171488
"サークルK","柳津佐波",35.3651185,136.7207469
"サークルK","春日井花長",35.2343173,136.9407347
"サークルK","弥富通",35.1199798,136.9571496
"サークルK","蟹江本町",35.1333506,136.7965623
"サークルK","荒畑",35.15024,136.9224901
"サークルK","坂祝黒岩",35.4420367,136.9735724
"サークルK","豊明榎山",35.0620557,136.9935882
"サークルK","弁天通",35.1924709,136.8915907
"サークルK","恵那インター",35.4558066,137.3951867
"サークルK","津大門",34.7204129,136.5159886
"サークルK","小牧舟津",35.2854752,136.9009156
"サークルK","春日井鳥居松",35.2442138,136.9715817
"サークルK","武芸川",35.5227259,136.8518678
"サークルK","加茂山手",35.4537813,137.0241286
"サークルK","名所ケ峯",35.0300229,136.9802798
"サークルK","志摩甲賀",34.3123146,136.8648724
"サークルK","黄金通四丁目",35.160368,136.8707129
"サークルK","篠の風",35.0949158,136.9760881
"サークルK","緑高校前",35.0806951,136.9633199
"サークルK","一宮馬引",35.3060927,136.7750561
"サークルK","大平駒場",34.9436329,137.1975267
"サークルK","尾頭橋通",35.1439841,136.8890541
"サークルK","長興寺",35.0709857,137.1649626
"サークルK","椿町",35.1679733,136.8789119
"サークルK","一色新町",35.1269629,136.8299488
"サークルK","東郷新池",35.0912422,137.0320447
"サークルK","名張蔵持",34.6368469,136.1184995
"サークルK","木瀬",35.2146185,137.2336722
"サークルK","春日井牛山",35.274879,136.9431216
"サークルK","瀬戸川西",35.2169483,137.0626863
"サークルK","信州喬木",35.520853,137.8755128
"サークルK","柵下町",35.0973588,136.9306418
"サークルK","雲出本郷",34.6666727,136.5229645
"サークルK","垂井東",35.3752092,136.5350709
"サークルK","上野",34.7248816,137.3866821
"サークルK","大脇",34.7271526,137.4558762
"サークルK","弁天島",34.690387,137.6008659
"サークルK","寺島",34.6994937,137.7370869
"サークルK","新城",34.898171,137.4947341
"サークルK","中条",34.7835572,137.7798547
"サークルK","磐田団地",34.7047795,137.8859915
"サークルK","焼津八楠",34.8798651,138.3092483
"サークルK","船渡",34.7221052,137.3471765
"サークルK","御前崎市役所前",34.6387987,138.1273025
"サークルK","葵",34.7683746,137.712953
"サークルK","清水月見町",35.0017581,138.4815284
"サークルK","豊島",34.6690168,137.2825323
"サークルK","三谷",34.8101202,137.2555271
"サークルK","清水堂林",35.0059486,138.4755487
"サークルK","浜岡佐倉",34.6316747,138.1403818
"サークルK","富士鮫島",35.1403046,138.6717452
"サークルK","浜名三ツ谷",34.7008621,137.5555882
"サークルK","小豆餅",34.7550433,137.7280303
"サークルK","富士神谷",35.1626144,138.7401995
"サークルK","敷地",34.6889548,137.805488
"サークルK","富士宮淀師",35.2423006,138.6096567
"サークルK","モール街",34.7041288,137.7305325
"サークルK","池下",34.7407613,137.4104824
"サークルK","中高丘",34.7610532,137.7015543
"サークルK","吉胡",34.6790595,137.2739516
"サークルK","富士石坂",35.1809334,138.6817615
"サークルK","三島壱町田",35.1342376,138.9194139
"サークルK","富士荒田島",35.157747,138.688793
"サークルK","宇布見",34.6989509,137.6439619
"サークルK","清水長崎",35.0165329,138.4453497
"サークルK","御前崎",34.603654,138.2157968
"サークルK","子安",34.7117375,137.7598597
"サークルK","赤羽根",34.6146822,137.2034714
"サークルK","富士水戸島",35.1446397,138.6470081
"サークルK","富士大渕",35.1970677,138.6808889
"サークルK","長篠",34.9245802,137.5585586
"サークルK","清水船越",35.0041856,138.4664905
"サークルK","神田",34.6866946,137.7272136
"サークルK","渥美保美",34.6199996,137.0867698
"サークルK","藤枝瀬古",34.8665433,138.236763
"サークルK","掛川杉谷",34.7683002,138.0315155
"サークルK","二番町",34.7319671,137.8588815
"サークルK","静岡有明",34.9686793,138.4042644
"サークルK","沼津中沢田",35.1219347,138.8532
"サークルK","東本郷",34.6976891,137.7664518
"サークルK","水竹",34.8352922,137.2364175
"サークルK","新富士駅南",35.1403344,138.662307
"サークルK","北高丘",34.7641531,137.7124222
"サークルK","遠州浜",34.6569545,137.7675726
"サークルK","静岡瀬名",35.0273124,138.4234321
"サークルK","西浦",34.7773813,137.178075
"サークルK","井伊谷",34.8341368,137.6663428
"サークルK","天竜山東",34.8748791,137.8208891
"サークルK","万野原バイパス",35.2529716,138.6164946
"サークルK","庵原由比",35.110078,138.5681162
"サークルK","三河大野",34.9521951,137.6072613
"サークルK","豊橋新栄",34.7668998,137.3677317
"サークルK","富士宮島",35.1276697,138.657497
"サークルK","東細谷",34.6849214,137.4718159
"サークルK","清水石川",35.0326454,138.4589629
"サークルK","田原浦",34.6958468,137.2770815
"サークルK","田原野田",34.6542251,137.210106
"サークルK","浜松富塚",34.7237992,137.7031559
"サークルK","富士宮新田",35.2467204,138.6243553
"サークルK","掛川細谷",34.7924014,137.9633701
"サークルK","駿東下土狩",35.1252742,138.8986991
